"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"Indeed Job Search","Business",0.00,25000.00,4.0,4.3,4.28,114,255000,102000,128000.00
"SONIC Drive-In","Food & Drink",0.00,25000.00,4.0,4.3,4.28,114,255000,102000,128000.00
"Twitter","News",0.00,25000.00,3.5,4.3,4.28,114,255000,102000,128000.00
"ADP Mobile Solutions","Business",0.00,25000.00,4.0,4.3,4.27,114,255000,102000,128000.00
"Fandango Movies - Times + Tickets","Entertainment",0.00,25000.00,4.0,4.6,4.27,114,255000,102000,128000.00
"Kik","Social Networking",0.00,25000.00,4.0,4.3,4.27,114,255000,102000,128000.00
"LEGO® Friends","Games",4.99,49900.00,4.0,4.4,4.27,114,255000,102000,103100.00
"Angry Birds Space HD","Games",0.00,25000.00,4.0,4.5,4.26,114,255000,102000,128000.00
"aa","Games",0.00,25000.00,4.5,4.2,4.25,114,255000,102000,128000.00
"iFunny :)","Entertainment",0.00,25000.00,3.5,4.4,4.25,114,255000,102000,128000.00
"STARZ","Entertainment",0.00,25000.00,3.5,4.3,4.23,114,255000,102000,128000.00
"sugar, sugar","Games",1.18,25000.00,4.5,4.2,4.23,114,255000,102000,128000.00
"Farming Simulator 16","Games",3.14,31387.77,4.5,4.2,4.22,114,255000,102000,121612.23
"NBA JAM by EA SPORTS™","Games",4.99,49900.00,4.0,4.3,4.22,114,255000,102000,103100.00
"Agar.io","Games",0.00,25000.00,4.5,4.2,4.21,114,255000,102000,128000.00
"Amex Mobile","Finance",0.00,25000.00,4.0,4.3,4.21,114,255000,102000,128000.00
"DRAGON QUEST","Games",2.99,29900.00,4.5,4.2,4.21,114,255000,102000,123100.00
"The Simpsons™: Tapped Out","Games",0.00,25000.00,4.0,4.3,4.21,114,255000,102000,128000.00
"Angry Birds Go!","Games",0.00,25000.00,4.0,4.2,4.20,114,255000,102000,128000.00
"Driving Zone","Games",0.00,25000.00,4.0,4.2,4.20,114,255000,102000,128000.00
"Dubsmash","Entertainment",0.00,25000.00,4.5,4.2,4.20,114,255000,102000,128000.00
"Dumb Ways to Die 2: The Games","Games",0.00,25000.00,4.0,4.2,4.20,114,255000,102000,128000.00
